sub,similarity,congruent,rsi
280281,2.259259259259259,1,1
280282,2.263157894736842,1,1
280283,2.24,1,1
280285,2.0526315789473686,1,1
280286,2.1923076923076925,1,1
280288,2.1333333333333333,1,1
280289,2.185185185185185,1,1
280292,1.7894736842105263,1,1
280297,2.0,1,1
280298,2.25,1,1
280299,1.8333333333333333,1,1
280300,1.894736842105263,1,1
280301,2.05,1,1
280302,2.2222222222222223,1,1
280303,1.8095238095238095,1,1
280304,2.12,1,1
280305,2.217391304347826,1,1
280306,1.9047619047619047,1,1
280307,2.04,1,1
280308,2.05,1,1
280309,2.1363636363636362,1,1
280310,2.375,1,1
280311,2.1052631578947367,1,1
280312,1.8888888888888888,1,1
280313,2.0,1,1
280314,1.7777777777777777,1,1
280315,2.142857142857143,1,1
280316,1.962962962962963,1,1
280317,2.130434782608696,1,1
280318,2.1875,1,1
280320,2.1818181818181817,1,1
280321,2.3181818181818183,1,1
280322,2.04,1,1
280325,2.142857142857143,1,1
280326,2.1666666666666665,1,1
280327,2.1818181818181817,1,1
280328,2.1578947368421053,1,1
280329,1.9565217391304348,1,1
280330,2.3076923076923075,1,1
280332,2.0869565217391304,1,1
280333,2.0952380952380953,1,1
280334,2.1923076923076925,1,1
280335,1.9565217391304348,1,1
280336,2.230769230769231,1,1
280337,1.7727272727272727,1,1
280339,2.0,1,1
280340,2.5,1,1
280342,2.0526315789473686,1,1
280343,2.142857142857143,1,1
280344,2.2,1,1
280345,1.8125,1,1
280346,2.2,1,1
280347,2.0384615384615383,1,1
280349,2.0,1,1
280350,2.5,1,1
280351,2.24,1,1
280352,2.466666666666667,1,1
280353,2.269230769230769,1,1
280354,2.066666666666667,1,1
280355,2.125,1,1
280356,2.4,1,1
280357,2.0588235294117645,1,1
280360,2.0454545454545454,1,1
280361,1.962962962962963,1,1
280362,2.269230769230769,1,1
280363,2.0,1,1
280364,2.2,1,1
280365,2.375,1,1
280367,2.5,1,1
280368,1.9333333333333333,1,1
280369,1.9166666666666667,1,1
280370,2.15,1,1
280371,2.3333333333333335,1,1
280372,2.0588235294117645,1,1
280373,2.0,1,1
280374,1.7647058823529411,1,1
280375,1.9166666666666667,1,1
280376,2.1538461538461537,1,1
280377,2.08,1,1
280379,2.0,1,1
280380,2.3043478260869565,1,1
280383,2.3333333333333335,1,1
280384,2.076923076923077,1,1
280385,1.9411764705882353,1,1
280386,2.125,1,1
280387,2.0,1,1
280389,1.5789473684210527,1,1
280391,2.0384615384615383,1,1
280392,1.875,1,1
280395,2.0625,1,1
280396,1.9,1,1
280398,1.8846153846153846,1,1
280403,2.142857142857143,1,1
280404,2.111111111111111,1,1
280405,1.8421052631578947,1,1
280406,2.1785714285714284,1,1
280408,2.0,1,1
280409,2.130434782608696,1,1
280411,2.0384615384615383,1,1
280412,2.0454545454545454,1,1
